table_name,row_count,tier,entity_class,java_refs,frontend_refs,last_sql_migration,verdict
resource,20,OTHER,Resource,k12-auth/src/main/java/com/k12/auth/admin/service/AdminUserScopeService.java;k12-common/src/main/java/com/k12/common/constant/ResourceTypeConstants.java;k12-common/src/main/java/com/k12/common/entity/Resource.java;k12-common/src/main/java/com/k12/common/entity/VAdminResourceMain.java;k12-common/src/main/java/com/k12/common/mapper/ResourceCategoryMapper.java;k12-prep/src/main/java/com/k12/prep/service/impl/PrepBasketDownloadServiceImpl.java;k12-prep/src/main/java/com/k12/prep/service/impl/PrepBasketServiceImpl.java;k12-resource/src/main/java/com/k12/resource/controller/AdminResourceController.java;k12-resource/src/main/java/com/k12/resource/controller/AdminResourceMainController.java;k12-resource/src/main/java/com/k12/resource/controller/AdminResourcesController.java;k12-resource/src/main/java/com/k12/resource/mapper/CollectionMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/ResourceAuditLogMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/ResourceAuditMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/ResourceMainMapper.java;k12-resource/src/main/java/com/k12/resource/search/SearchDocumentQueryService.java;k12-resource/src/main/java/com/k12/resource/search/SearchDocumentSyncService.java;k12-resource/src/main/java/com/k12/resource/search/SearchRedirectResolver.java;k12-resource/src/main/java/com/k12/resource/search/SearchSiteCatalog.java;k12-resource/src/main/java/com/k12/resource/service/CollectionService.java;k12-resource/src/main/java/com/k12/resource/service/impl/HomeLatestColumnServiceImpl.java;k12-resource/src/main/java/com/k12/resource/service/impl/RemoteFileProxyServiceImpl.java;k12-resource/src/main/java/com/k12/resource/service/impl/SearchServiceImpl.java;k12-resource/src/test/java/com/k12/resource/SearchExportAcceptanceTest.java,admin/api/analytics.ts;admin/api/audit.ts;admin/api/content.ts;admin/api/homeLatestColumns.ts;admin/api/homePanels.ts;admin/api/opsChannels.ts;admin/api/quality.ts;admin/api/resource.ts;admin/api/resourceMain.ts;admin/api/resources.ts;admin/api/stats.ts;admin/api/taxonomy.ts;admin/api/users.ts;admin/components/AdminAuditPreviewDrawer.vue;admin/components/OperationLogList.vue;admin/components/content/ContentPackageCrud.vue;admin/constants/resourceSourceTypes.ts;admin/router/routes.ts;admin/utils/resourceStatus.ts;admin/views/analytics/AnalyticsResources.vue;admin/views/audit/AuditRecords.vue;admin/views/audit/ResourceAudit.vue;admin/views/content/CompetitionOps.vue;admin/views/content/CultureOps.vue;admin/views/content/ThemeClassMeetingOps.vue;admin/views/content/TopicOps.vue;admin/views/dashboard/Dashboard.vue;admin/views/home-config/HomeFeatureChannels.vue;admin/views/home-config/HomeLatestColumns.vue;admin/views/home-config/HomePanelFeatured.vue;admin/views/home-config/HomePanelTabs.vue;admin/views/quality/LegacyApiUsage.vue;admin/views/quality/PreviewFails.vue;admin/views/resources/ResourceDetail.vue;admin/views/resources/ResourceList.vue;admin/views/search/SearchIndexStatus.vue;admin/views/system/SystemOperationLogs.vue;admin/views/system/SystemUploadConfig.vue;admin/views/taxonomy/Taxonomy.vue;admin/views/users/UserDetail.vue;api/brand.ts;api/browse.ts;api/channel.ts;api/collect.ts;api/competition.ts;api/cultureStudy.ts;api/download.ts;api/eduResource.ts;api/file.ts;api/homeOps.ts;api/homeSubjectNav.ts;api/index.ts;api/lesson.ts;api/prep.ts;api/primaryChinese.ts;api/resource.ts;api/resourceGateway.ts;api/resources.ts;api/search.ts;api/share.ts;api/taxonomy.ts;api/topic.ts;api/types.ts;api/view.ts;components.d.ts;components/common/ResourceCard.vue;components/common/index.ts;components/competition/CompetitionUploadDialog.vue;components/culture/CultureUploadDialog.vue;components/feature/FeatureResourceList.vue;components/index.ts;components/layout/AppHeader.vue;components/layout/FeatureChannelMegaPanel.vue;components/resource-detail/ResourceDetailMeta.vue;components/resource-detail/ResourcePreviewPanel.vue;components/resource/ResourceUploadDialog.vue;components/shared/HomeResourcePanel.vue;components/shared/ResourceListGrid.vue;components/shared/ResourceListRow.vue;components/shared/index.ts;components/shared/types.ts;components/subject/AdvancedFilterBar.vue;components/subject/ExamColumnLayout.vue;components/subject/ExamResourceContent.vue;components/subject/FilterBar.vue;components/subject/LessonGroupedList.vue;components/subject/ResourceListSection.vue;components/subject/ResourceTypeBar.vue;components/subject/SeriesFilterBar.vue;components/subject/SuiteDetailDrawer.vue;components/subject/SuiteSection.vue;components/subject/TopicColumnLayout.vue;components/subject/TopicResourceContent.vue;components/topic/TopicUploadDialog.vue;components/upload/FileUpload.vue;components/upload/UploadContextCard.vue;components/upload/UploadFilePreview.vue;components/upload/UploadStepBasic.vue;components/upload/UploadStepClassification.vue;components/upload/UploadStepPlacement.vue;components/upload/UploadStepPreview.vue;components/user/ProfileDownloadsPanel.vue;components/user/ProfileFavoritesPanel.vue;components/user/ProfileHomePanel.vue;components/user/ProfileResourceList.vue;components/user/ProfileUploadsPanel.vue;composables/catalogSource.ts;composables/dictionarySource.ts;composables/index.ts;composables/taxonomySource.ts;composables/useApiResources.ts;composables/useBrowseTypeStats.ts;composables/useCatalogTree.ts;composables/useColumnFilter.ts;composables/useCompetitionZone.ts;composables/useCultureStudy.ts;composables/useFeatureChannel.ts;composables/useGradePage.ts;composables/useHomePanels.ts;composables/useHomeSubjectDetailOptions.ts;composables/useLessonHub.ts;composables/useMyCollections.ts;composables/useMyDownloads.ts;composables/useMyResources.ts;composables/useMyViews.ts;composables/useRecentViews.ts;composables/useResourceBrowseContext.ts;composables/useResourceDetail.ts;composables/useResourceFilter.ts;composables/useResourceSeries.ts;composables/useResourceUploadForm.ts;composables/useSubjectPageState.ts;composables/useSuiteResourceActions.ts;composables/useThemeClassMeeting.ts;composables/useTopicZone.ts;composables/useUploadFormInject.ts;composables/useUploadTaxonomyCascade.ts;config/homeOpsStatic.ts;config/hotWordActions.ts;config/resourceSeriesConfig.ts;config/searchCatalog.ts;constants/competitionZone.ts;constants/featureChannelRegistry.ts;constants/featureChannels.ts;constants/index.ts;constants/myResources.ts;constants/resource-types.ts;constants/resourceBrowseTags.ts;constants/resourceConstants.ts;constants/syncPrepColumnFilters.ts;constants/topicZone.ts;constants/uploadDefaults.ts;constants/uploadLabels.ts;constants/uploadRecommend.ts;constants/uploadResourceSubTypes.ts;constants/uploadSchema.ts;router/index.ts;store/index.ts;store/prepBasket.ts;store/resource.ts;types/index.ts;utils/editionAdapter.ts;utils/lessonPlanContent.ts;utils/resourceDisplay.ts;utils/resourceDisplayType.ts;utils/resourceWorker.ts;utils/resourceWriteMapper.ts;utils/sortResourceTypes.ts;utils/subjectBrowseRoute.ts;utils/uploadPersist.ts;utils/uploadRoute.ts;views/feature/ClassMeetingCategory.vue;views/feature/CompetitionResourceDetail.vue;views/feature/CompetitionZone.vue;views/feature/FeatureChannel.vue;views/feature/FeaturePage.vue;views/feature/ThemeClassMeeting.vue;views/feature/TopicResourceDetail.vue;views/feature/TopicZone.vue;views/feature/TraditionalCulture.vue;views/grade/GradePage.vue;views/grade/VersionResourcePage.vue;views/home/HomePage.vue;views/home/ResourceDetail.vue;views/home/components/ExamModule.vue;views/home/components/LatestContent.vue;views/home/components/PaperModule.vue;views/home/components/SubjectDetail.vue;views/home/components/SyncResourceModule.vue;views/home/components/index.ts;views/lesson/SmartLesson.vue;views/lesson/components/PrepAlbumList.vue;views/lesson/components/PrepBasketPanel.vue;views/lesson/components/PrepSchoolList.vue;views/promotion/PromotionLandingPage.vue;views/resource/ResourceUpload.vue;views/resource/SubjectDetailPage.vue;views/resource/VersionResourcePage.vue;views/resource/demo.vue;views/resource/demo01.vue;views/search/SearchResultPage.vue;views/user/MyResources.vue;views/user/Profile.vue,69_phase7a_home_ops.sql,UNCLASSIFIED
resource_audit,11,OTHER,ResourceAudit,k12-auth/src/main/java/com/k12/auth/admin/service/AdminUserScopeService.java;k12-common/src/main/java/com/k12/common/entity/ResourceAudit.java;k12-resource/src/main/java/com/k12/resource/mapper/ResourceAuditLogMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/ResourceAuditMapper.java,,57_admin_audit_phase4b.sql,UNCLASSIFIED
resource_audit_log,8,OTHER,ResourceAuditLog,k12-auth/src/main/java/com/k12/auth/admin/service/AdminUserScopeService.java;k12-common/src/main/java/com/k12/common/entity/ResourceAuditLog.java;k12-resource/src/main/java/com/k12/resource/mapper/ResourceAuditLogMapper.java,,85_phase8_quality_governance.sql,UNCLASSIFIED
resource_catalog_alias,0,OTHER,ResourceCatalogAlias,k12-common/src/main/java/com/k12/common/entity/ResourceCatalogAlias.java,,88_phase3c_alias_quality.sql,UNCLASSIFIED
resource_category,0,DEPRECATED,ResourceCategory,k12-common/src/main/java/com/k12/common/entity/ResourceCategory.java;k12-common/src/main/java/com/k12/common/mapper/ResourceCategoryMapper.java,,08_legacy_business.sql,DEPRECATE
resource_daily_stats,0,OTHER,ResourceDailyStats,k12-common/src/main/java/com/k12/common/entity/ResourceDailyStats.java,,85_phase8_quality_governance.sql,UNCLASSIFIED
resource_main,404,PRIMARY,ResourceMain,k12-common/src/main/java/com/k12/common/entity/ResourceMain.java;k12-common/src/main/java/com/k12/common/entity/VAdminResourceMain.java;k12-resource/src/main/java/com/k12/resource/mapper/ResourceMainMapper.java,admin/constants/resourceSourceTypes.ts;admin/views/audit/ResourceAudit.vue,90_phase3c_quality_cleanup.sql,KEEP
resource_migration_ledger,5,OTHER,ResourceMigrationLedger,k12-common/src/main/java/com/k12/common/entity/ResourceMigrationLedger.java,,94_phase3i_d_legacy_read_410.sql,UNCLASSIFIED
resource_rating,0,OTHER,,,,07_interaction.sql,REVIEW
resource_search_index,373,OTHER,ResourceSearchIndex,k12-resource/src/main/java/com/k12/resource/entity/ResourceSearchIndex.java,admin/views/search/SearchIndexStatus.vue,38_resource_search_index_p0plus.sql,UNCLASSIFIED
